a|一個 |[eɪ]
policeman|男警察 |[pəˈliːs.mən]
polite|有禮貌的 |[pəˈlaɪt]
pollute|污染 |[pəˈluːt]
pollution|污染 |[pəˈluː.ʃən]
pond|池塘 |[pɒnd]
pool|水池 |[puːl]
poor|貧窮的/可憐的 |[pɔːr]
popcorn|爆米花 |[ˈpɒp.kɔːn]
popular|受歡迎的 |[ˈpɒp.jʊ.lər]
pork|豬肉 |[pɔːk]
position|位置 |[pəˈzɪʃ.ən]
positive|積極的/正面的 |[ˈpɒz.ə.tɪv]
possible|可能的 |[ˈpɒs.ə.bəl]
post|郵寄/公布 |[pəʊst]
post office|郵局 |[ˈpəʊst ˌɒf.ɪs]
postcard|明信片 |[ˈpəʊst.kɑːd]
pot|鍋子 |[pɒt]
potato|馬鈴薯 |[pəˈteɪ.təʊ]
pound|磅 |[paʊnd]
powder|粉末 |[ˈpaʊ.dər]
power|力量 |[ˈpaʊər]
powerful|強有力的 |[ˈpaʊə.fəl]
practice|練習 |[ˈpræk.tɪs]
praise|讚美 |[preɪz]
select|選擇 |[sɪˈlekt]
selfish|自私的 |[ˈsel.fɪʃ]
sell|賣 |[sel]
semester|學期 |[sɪˈmes.tər]
send|寄送 |[send]
senior|資深的/前輩 |[ˈsiː.ni.ər]
sense|感官/感覺 |[sens]
sentence|句子 |[ˈsen.təns]
September|九月 |[sepˈtem.bər]
serious|嚴肅的/嚴重的 |[ˈsɪə.ri.əs]
servant|僕人 |[ˈsɜː.vənt]
serve|服務/端上 |[sɜːv]
service|服務 |[ˈsɜː.vɪs]
set|安置/一套 |[set]
seven|七 |[ˈsev.ən]
seventeen|十七 |[ˌsev.ənˈtiːn]
seventy|七十 |[ˈsev.ən.ti]
several|幾個的 |[ˈsev.ər.əl]
severe|嚴重的 |[sɪˈvɪər]
sew|縫紉 |[səʊ]
sex|性別 |[seks]
shade|陰涼處 |[ʃeɪd]
shadow|影子 |[ˈʃæd.əʊ]
shake|搖晃 |[ʃeɪk]
shall|將要 |[ʃæl]
shame|羞恥/遺憾 |[ʃeɪm]
shape|形狀 |[ʃeɪp]
share|分享 |[ʃeər]
shark|鯊魚 |[ʃɑːk]
sharp|鋒利的 |[ʃɑːp]
shave|刮鬍子 |[ʃeɪv]
she|她 |[ʃiː]
sheep|綿羊 |[ʃiːp]
sheet|一張(紙)/床單 |[ʃiːt]
shelf|書架 |[ʃelf]
shell|貝殼 |[ʃel]
shelter|庇護所 |[ˈʃel.tər]
shine|發光 |[ʃaɪn]
ship|船 |[ʃɪp]
shirt|襯衫 |[ʃɜːt]
shoe|鞋子 |[ʃuː]
shop|商店/購物 |[ʃɒp]
shopkeeper|店主 |[ˈʃɒpˌkiː.pər]
shoppe|小商店 |[ʃɒp]
shopping|購物 |[ˈʃɒp.ɪŋ]
shore|岸邊 |[ʃɔːr]
short|短的/矮的 |[ʃɔːt]
shorts|短褲 |[ʃɔːts]
should|應該 |[ʃʊd]
shoulder|肩膀 |[ˈʃəʊl.dər]
shout|喊叫 |[ʃaʊt]
show|表演/展示 |[ʃəʊ]
shower|陣雨/淋浴 |[ˈʃaʊər]
shrimp|蝦子 |[ʃrɪmp]
shrink|縮水 |[ʃrɪŋk]
shut|關上 |[ʃʌt]
shy|害羞的 |[ʃaɪ]
sick|生病的 |[sɪk]
side|旁邊/側面 |[saɪd]
sidewalk|人行道 |[ˈsaɪd.wɔːk]
sight|視力/風景 |[saɪt]
sign|告示/簽名 |[saɪn]
signal|信號 |[ˈsɪɡ.nəl]
silence|安靜 |[ˈsaɪ.ləns]
silent|安靜的 |[ˈsaɪ.lənt]
silk|絲綢 |[sɪlk]
silly|傻的 |[ˈsɪl.i]
silver|銀/銀色的 |[ˈsɪl.vər]
similar|相似的 |[ˈsɪm.ɪ.lər]
simple|簡單的 |[ˈsɪm.pəl]
since|自從 |[sɪns]
sincere|真誠的 |[sɪnˈsɪər]
sing|唱歌 |[sɪŋ]
singer|歌手 |[ˈsɪŋ.ər]
single|單身的/單一的 |[ˈsɪŋ.ɡəl]
sink|水槽/沉入 |[sɪŋk]
sir|先生 |[sɜːr]
sister|姊妹 |[ˈsɪs.tər]
sit|坐 |[sɪt]
site|地點/網站 |[saɪt]
situation|情況 |[ˌsɪtʃ.uˈeɪ.ʃən]
six|六 |[sɪks]
sixteen|十六 |[ˌsɪksˈtiːn]
sixty|六十 |[ˈsɪks.ti]
size|尺寸 |[saɪz]
skate|溜冰 |[skeɪt]
skirt|裙子 |[skɜːt]
ski|滑雪 |[skiː]
skill|技巧 |[skɪl]
skin|皮膚 |[skɪn]
skip|跳過 |[skɪp]
sky|天空 |[skaɪ]
slam|砰然關上 |[slæm]
slave|奴隸 |[sleɪv]
sleep|睡覺 |[sliːp]
sleepy|昏昏欲睡的 |[ˈsliː.pi]
sleeve|袖子 |[sliːv]
slice|薄片 |[slaɪs]
slide|滑動/溜滑梯 |[slaɪd]
slim|苗條的 |[slɪm]
slip|滑倒 |[slɪp]
slipper|拖鞋 |[ˈslɪp.ər]
slow|慢的 |[sləʊ]
small|小的 |[smɔːl]
smart|聰明的 |[smɑːt]
smell|聞/氣味 |[smel]
smile|微笑 |[smaɪl]
smoke|煙/抽煙 |[sməʊk]
smooth|光滑的 |[smuːð]
snack|點心 |[snæk]
snail|蝸牛 |[sneɪl]
snake|蛇 |[sneɪk]
sneaker|球鞋 |[ˈsniː.kər]
sneeze|打噴嚏 |[sniːz]
sniff|嗅/聞 |[snɪf]
snow|下雪/雪 |[snəʊ]
snowman|雪人 |[ˈsnəʊ.mæn]
snowy|下雪的 |[ˈsnəʊ.i]
so|所以/如此 |[səʊ]
soap|肥皂 |[səʊp]
soccer|足球 |[ˈsɒk.ər]
social|社會的 |[ˈsəʊ.ʃəl]
society|社會 |[səˈsaɪ.ə.ti]
sock|短襪 |[sɒk]
soda|蘇打水 |[ˈsəʊ.də]
sofa|沙發 |[ˈsəʊ.fə]
soft|柔軟的 |[sɒft]
soldier|軍人 |[ˈsəʊl.dʒər]
sole|唯一的/鞋底 |[səʊl]
solve|解決 |[sɒlv]
some|一些 |[sʌm]
somebody|某人 |[ˈsʌm.bɒd.i]
someone|某人 |[ˈsʌm.wʌn]
something|某事 |[ˈsʌm.θɪŋ]
sometimes|有時候 |[ˈsʌm.taɪmz]
somewhere|某處 |[ˈsʌm.weər]
son|兒子 |[sʌn]
song|歌曲 |[sɒŋ]
soon|很快地 |[suːn]
sore|痛的 |[sɔːr]
sorrow|悲傷 |[ˈsɒr.əʊ]
sorry|抱歉的 |[ˈsɒr.i]
sort|分類/種類 |[sɔːt]
soul|靈魂 |[səʊl]
sound|聲音/聽起來 |[saʊnd]
soup|湯 |[suːp]
sour|酸的 |[ˈsaʊər]
source|來源 |[sɔːs]
south|南方 |[saʊθ]
southern|南方的 |[ˈsʌð.ən]
souvenir|紀念品 |[ˌsuː.vəˈnɪər]
soy sauce|醬油 |[ˈsɔɪ ˌsɔːs]
space|空間/太空 |[speɪs]
spade|鏟子 |[speɪd]
spaghetti|義大利麵 |[spəˈɡet.i]
spare|備用的/撥出(時間) |[speər]
speak|說話 |[spiːk]
speaker|演講者/喇叭 |[ˈspiː.kər]
special|特別的 |[ˈspeʃ.əl]
speech|演講 |[spiːtʃ]
speed|速度 |[spiːd]
spell|拼字 |[spel]
spend|花費 |[spend]
spicy|辣的 |[ˈspaɪ.si]
spider|蜘蛛 |[ˈspaɪ.dər]
spinach|菠菜 |[ˈspɪn.ɪdʒ]
spirit|精神/靈魂 |[ˈspɪr.ɪt]
spit|吐(口水) |[spɪt]
splendid|燦爛的/極好的 |[ˈsplen.dɪd]
split|分裂/分開 |[splɪt]
spoil|破壞/寵壞 |[spɔɪl]
spoon|湯匙 |[spuːn]
sport|運動 |[spɔːt]
sportsman|運動員 |[ˈspɔːts.mən]
spot|斑點/地點 |[spɒt]
spread|傳播/塗抹 |[spred]
spring|春天/彈簧 |[sprɪŋ]
spy|間諜 |[spaɪ]
square|正方形/廣場 |[skweər]
squid|烏賊 |[skwɪd]
squirrel|松鼠 |[ˈskwɪr.əl]
stable|穩定的/馬廄 |[ˈsteɪ.bəl]
stage|舞台 |[steɪdʒ]
stain|污漬 |[steɪn]
stair|樓梯 |[steər]
stamp|郵票 |[stæmp]
stand|站立 |[stænd]
standard|標準 |[ˈstæn.dəd]
star|星星/明星 |[stɑːr]
stare|凝視 |[steər]
start|開始 |[stɑːt]
state|狀態/國家/州 |[steɪt]
station|車站 |[ˈsteɪ.ʃən]
stationary|靜止的 |[ˈsteɪ.ʃən.ər.i]
stationery|文具 |[ˈsteɪ.ʃən.ər.i]
statue|雕像 |[ˈstætʃ.uː]
stay|停留 |[steɪ]
steak|牛排 |[steɪk]
steal|偷竊 |[stiːl]
steam|蒸汽 |[stiːm]
steel|鋼鐵 |[stiːl]
steer|駕駛/引導 |[stɪər]
step|腳步/跨步 |[step]
steward|男服務員 |[ˈstjuː.əd]
stewardess|女服務員 |[ˈstjuː.ə.des]
stick|棍子/黏貼 |[stɪk]
sticky|黏的 |[ˈstɪk.i]
stiff|硬的/僵直的 |[stɪf]
still|仍然 |[stɪl]
sting|叮/刺 |[stɪŋ]
stir|攪拌 |[stɜːr]
stock|庫存/股票 |[stɒk]
stomach|胃 |[ˈstʌm.ək]
stomachache|胃痛 |[ˈstʌm.ək.eɪk]
stone|石頭 |[stəʊn]
stop|停止/車站 |[stɒp]
store|商店 |[stɔːr]
storm|暴風雨 |[stɔːm]
stormy|暴風雨的 |[ˈstɔː.mi]
story|故事/樓層 |[ˈstɔː.ri]
stove|爐子 |[stəʊv]
straight|直的 |[streɪt]
strange|奇怪的 |[streɪndʒ]
stranger|陌生人 |[ˈstreɪn.dʒər]
straw|吸管/稻草 |[strɔː]
strawberry|草莓 |[ˈstrɔː.bər.i]
stream|小溪 |[striːm]
street|街道 |[striːt]
strength|力量 |[streŋθ]
stress|壓力/強調 |[stres]
stretch|伸展 |[stretʃ]
strict|嚴格的 |[strɪkt]
strike|打擊/罷工 |[straɪk]
string|細繩 |[strɪŋ]
stripe|條紋 |[straɪp]
stroke|中風/一筆畫 |[strəʊk]
strong|強壯的 |[strɒŋ]
structure|結構 |[ˈstrʌk.tʃər]
stubborn|固執的 |[ˈstʌb.ən]
student|學生 |[ˈstjuː.dənt]
studio|工作室 |[ˈstjuː.di.əʊ]
study|學習/書房 |[ˈstʌd.i]
stuff|東西 |[stʌf]
stupid|愚蠢的 |[ˈstjuː.pɪd]
style|風格 |[staɪl]
subject|科目/主題 |[ˈsʌb.dʒɪkt]
submarine|潛水艇 |[ˌsʌb.məˈriːn]
subway|地鐵 |[ˈsʌb.weɪ]
succeed|成功 |[səkˈsiːd]
success|成功 |[səkˈses]
successful|成功的 |[səkˈses.fəl]
such|如此的 |[sʌtʃ]
sudden|突然的 |[ˈsʌd.ən]
suffer|受苦 |[ˈsʌf.ər]
sugar|糖 |[ˈʃʊɡ.ər]
suggest|建議 |[səˈdʒest]
suggestion|建議 |[səˈdʒes.tʃən]
suit|西裝/適合 |[suːt]
suitable|適合的 |[ˈsuː.tə.bəl]
suitcase|行李箱 |[ˈsuːt.keɪs]
summer|夏天 |[ˈsʌm.ər]
sun|太陽 |[sʌn]
Sunday|星期日 |[ˈsʌn.deɪ]
sunny|晴朗的 |[ˈsʌn.i]
super|超級的 |[ˈsuː.pər]
supermarket|超級市場 |[ˈsuː.pəˌmɑː.kɪt]
supper|晚餐 |[ˈsʌp.ər]
support|支持 |[səˈpɔːt]
suppose|猜想/假定 |[səˈpəʊz]
sure|確定的 |[ʃɔːr]
surface|表面 |[ˈsɜː.fɪs]
surprise|使驚訝/驚喜 |[səˈpraɪz]
surprised|感到驚訝的 |[səˈpraɪzd]
surprising|令人驚訝的 |[səˈpraɪ.zɪŋ]
surround|環繞 |[səˈraʊnd]
survive|存活 |[səˈvaɪv]
suspect|懷疑/嫌疑犯 |[səˈspekt]
swallow|吞嚥/燕子 |[ˈswɒl.əʊ]
swan|天鵝 |[swɒn]
swear|發誓/咒罵 |[sweər]
sweat|流汗/汗水 |[swet]
sweater|毛衣 |[ˈswet.ər]
sweep|打掃 |[swiːp]
sweet|甜的 |[swiːt]
swell|腫脹 |[swel]
swim|游泳 |[swɪm]
swimming|游泳 |[ˈswɪm.ɪŋ]
swing|鞦韆/搖擺 |[swɪŋ]
switch|開關/切換 |[swɪtʃ]
sword|劍 |[sɔːd]
symbol|象徵 |[ˈsɪm.bəl]
sympathy|同情心 |[ˈsɪm.pə.θi]
system|系統 |[ˈsɪs.təm]
table|桌子 |[ˈteɪ.bəl]
table tennis|桌球 |[ˈteɪ.bəl ˌten.ɪs]
tadpole|蝌蚪 |[ˈtæd.pəʊl]
tail|尾巴 |[teɪl]
tailor|裁縫師 |[ˈteɪ.lər]
take|拿/搭乘 |[teɪk]
talent|天賦 |[ˈtæl.ənt]
talk|談話 |[tɔːk]
talkative|多話的 |[ˈtɔː.kə.tɪv]
tall|高的 |[tɔːl]
tangerine|柑橘 |[ˈtæn.dʒə.riːn]
tank|坦克/水槽 |[tæŋk]
tap|水龍頭/輕拍 |[tæp]
tape|膠帶/錄音帶 |[teɪp]
taste|嚐起來/味道 |[teɪst]
tasty|美味可味的 |[ˈteɪ.sti]
taxi|計程車 |[ˈtæk.si]
tea|茶 |[tiː]
teach|教導 |[tiːtʃ]
teacher|老師 |[ˈtiː.tʃər]
team|團隊 |[tiːm]
teapot|茶壺 |[ˈtiː.pɒt]
tear|眼淚/撕開 |[tɪər]
technique|技術 |[tekˈniːk]
technology|科技 |[tekˈnɒl.ə.dʒi]
teen|青少年 |[tiːn]
teenager|青少年 |[ˈtiːnˌeɪ.dʒər]
telephone|電話 |[ˈtel.ɪ.fəʊn]
television|電視 |[ˈtel.ɪˌvɪʒ.ən]
tell|告訴 |[tel]
temperature|溫度 |[ˈtem.prə.tʃər]
temple|寺廟 |[ˈtem.pəl]
ten|十 |[ten]
tennis|網球 |[ˈten.ɪs]
tent|帳篷 |[tent]
term|學期/術語 |[tɜːm]
terrible|可怕的 |[ˈter.ə.bəl]
terrify|使害怕 |[ˈter.ɪ.faɪ]
test|考試 |[test]
textbook|教科書 |[ˈtekst.bʊk]
than|比 |[ðæn]
thank|感謝 |[θæŋk]
thanks|感謝 |[θæŋks]
Thanksgiving|感恩節 |[ˌθæŋksˈɡɪv.ɪŋ]
that|那個 |[ðæt]
the|這/那 |[ðə]
theater|戲院 |[ˈθɪə.tər]
their|他們的 |[ðeər]
theirs|他們的(所有格代名詞) |[ðeəz]
them|他們(受格) |[ðem]
themselves|他們自己 |[ðəmˈselvz]
then|然後 |[ðen]
there|在那裡 |[ðeər]
therefore|因此 |[ˈðeə.fɔːr]
these|這些 |[ðiːz]
they|他們 |[ðeɪ]
thick|厚的 |[θɪk]
thief|小偷 |[θiːf]
thin|薄的/瘦的 |[θɪn]
thing|東西 |[θɪŋ]
think|想 |[θɪŋk]
third|第三 |[θɜːd]
thirteen|十三 |[ˌθɜːˈtiːn]
thirty|三十 |[ˈθɜː.ti]
this|這個 |[ðɪs]
those|那些 |[ðəʊz]
though|雖然 |[ðəʊ]
thought|想法/思考 |[θɔːt]
thousand|千 |[ˈθaʊ.zənd]
thread|線 |[θred]
three|三 |[θriː]
throat|喉嚨 |[θrəʊt]
throne|王位 |[θrəʊn]
through|穿過 |[θruː]
throw|丟 |[θrəʊ]
thumb|大拇指 |[θʌm]
thunder|打雷 |[ˈθʌn.dər]
Thursday|星期四 |[ˈθɜːz.deɪ]
thus|因此 |[ðʌs]
ticket|票 |[ˈtɪk.ɪt]
tidy|整潔的 |[ˈtaɪ.di]
tie|領帶/綁 |[taɪ]
tiger|老虎 |[ˈtaɪ.ɡər]
tight|緊的 |[taɪt]
till|直到 |[tɪl]
time|時間/次數 |[taɪm]
tiny|微小的 |[ˈtaɪ.ni]
tip|小費/提示 |[tɪp]
tired|疲倦的 |[ˈtaɪəd]
tire|車胎/使疲倦 |[taɪər]
tiring|令人疲倦的 |[ˈtaɪə.rɪŋ]
tissue|面紙/組織 |[ˈtɪʃ.uː]
title|標題 |[ˈtaɪ.təl]
to|到/給 |[tuː]
toast|吐司/乾杯 |[təʊst]
tobacco|菸草 |[təˈbæk.əʊ]
today|今天 |[təˈdeɪ]
toe|腳趾 |[təʊ]
tofu|豆腐 |[ˈtəʊ.fuː]
together|一起 |[təˈɡeð.ər]
toilet|廁所 |[ˈtɔɪ.lət]
tomato|番茄 |[təˈmɑː.təʊ]
tomorrow|明天 |[təˈmɒr.əʊ]
ton|噸 |[tʌn]
tongue|舌頭 |[tʌŋ]
tonight|今晚 |[təˈnaɪt]
too|也/太 |[tuː]
tool|工具 |[tuːl]
tooth|牙齒 |[tuːθ]
toothache|牙痛 |[ˈtuːθ.eɪk]
toothbrush|牙刷 |[ˈtuːθ.brʌʃ]
toothpaste|牙膏 |[ˈtuːθ.peɪst]
top|頂部 |[tɒp]
topic|主題 |[ˈtɒp.ɪk]
torch|火把/手電筒 |[tɔːtʃ]
tortoise|陸龜 |[ˈtɔː.təs]
total|總共的 |[ˈtəʊ.təl]
touch|觸摸 |[tʌtʃ]
tough|堅韌的/棘手的 |[tʌf]
tour|旅遊 |[tʊər]
tourist|觀光客 |[ˈtʊə.rɪst]
toward|朝向 |[təˈwɔːd]
towel|毛巾 |[ˈtaʊ.əl]
tower|塔 |[ˈtaʊər]
town|城鎮 |[taʊn]
toy|玩具 |[tɔɪ]
trace|追蹤/痕跡 |[treɪs]
track|軌道/跑道 |[træk]
trade|貿易 |[treɪd]
tradition|傳統 |[trəˈdɪʃ.ən]
traditional|傳統的 |[trəˈdɪʃ.ən.əl]
traffic|交通 |[ˈtræf.ɪk]
train|火車/訓練 |[treɪn]
trainer|教練 |[ˈtreɪ.nər]
training|訓練 |[ˈtreɪ.nɪŋ]
translate|翻譯 |[trænsˈleɪt]
translation|翻譯 |[trænsˈleɪ.ʃən]
transport|運輸 |[trænsˈpɔːt]
transportation|交通工具 |[ˌtræn.spɔːˈteɪ.ʃən]
trap|陷阱 |[træp]
travel|旅遊 |[ˈtræv.əl]
traveler|旅客 |[ˈtræv.əl.ər]
treasure|寶藏 |[ˈtreʒ.ər]
treat|對待/請客 |[triːt]
treatment|治療/對待 |[ˈtriːt.mənt]
tree|樹木 |[triː]
triangle|三角形 |[ˈtraɪ.æŋ.ɡəl]
trick|惡作劇/把戲 |[trɪk]
trip|旅行 |[trɪp]
trousers|褲子 |[ˈtraʊ.zəz]
truck|卡車 |[trʌk]
true|真實的 |[truː]
trumpet|小喇叭 |[ˈtrʌm.pɪt]
trust|信任 |[trʌst]
truth|真相 |[truːθ]
try|嘗試 |[traɪ]
T-shirt|T恤 |[ˈtiː.ʃɜːt]
tub|浴缸 |[tʌb]
Tuesday|星期二 |[ˈtjuːz.deɪ]
tunnel|隧道 |[ˈtʌn.əl]
turkey|火雞 |[ˈtɜː.ki]
turn|轉動/輪流 |[tɜːn]
turtle|烏龜 |[ˈtɜː.təl]
TV|電視 |[ˌtiːˈviː]
twelfth|第十二 |[twelfθ]
twelve|十二 |[twelv]
twenty|二十 |[ˈtwen.ti]
twice|兩次 |[twaɪs]
twin|雙胞胎 |[twɪn]
two|二 |[tuː]
type|類型/打字 |[taɪp]
typewriter|打字機 |[ˈtaɪpˌraɪ.tər]
typhoon|颱風 |[taɪˈfuːn]
typical|典型的 |[ˈtɪp.ɪ.kəl]
ugly|醜陋的 |[ˈʌɡ.li]
umbrella|雨傘 |[ʌmˈbrel.ə]
uncle|伯父/叔叔/舅舅 |[ˈʌŋ.kəl]
under|在...下方 |[ˈʌn.dər]
underground|地下的 |[ˌʌn.dəˈɡraʊnd]
underline|劃底線 |[ˌʌn.dəˈlaɪn]
underpants|內褲 |[ˈʌn.də.pænts]
understand|明白 |[ˌʌn.dəˈstænd]
underwear|內衣 |[ˈʌn.də.weər]
unhappy|不快樂的 |[ʌnˈhæp.i]
uniform|制服 |[ˈjuː.nɪ.fɔːm]
unique|獨特的 |[juːˈniːk]
unit|單元 |[ˈjuː.nɪt]
universe|宇宙 |[ˈjuː.nɪ.vɜːs]
university|大學 |[ˌjuː.nɪˈvɜː.sə.ti]
unknown|未知的 |[ʌnˈnəʊn]
unless|除非 |[ʌnˈles]
until|直到 |[ʌnˈtɪl]
unusual|不尋常的 |[ʌnˈjuː.ʒu.əl]
up|向上 |[ʌp]
upon|在...之上 |[əˈpɒn]
upper|較高的 |[ˈʌp.ər]
stairs|樓梯 |[steəz]
upstairs|在樓上 |[ˌʌpˈsteəz]
urban|都市的 |[ˈɜː.bən]
urge|催促/渴望 |[ɜːdʒ]
urgent|緊急的 |[ˈɜː.dʒənt]
us|我們(受格) |[ʌs]
use|使用 |[juːz]
used|習慣於/舊的 |[juːzd]
useful|有用的 |[ˈjuːs.fəl]
user|使用者 |[ˈjuː.zər]
usual|通常的 |[ˈjuː.ʒu.əl]
vacation|假期 |[vəˈkeɪ.ʃən]
vaccine|疫苗 |[ˈvæk.siːn]
vague|模糊的 |[veɪɡ]
valley|山谷 |[ˈvæl.i]
valuable|有價值的 |[ˈvæl.jʊ.ə.bəl]
value|價值 |[ˈvæl.juː]
van|箱型車 |[væn]
vanish|消失 |[ˈvæn.ɪʃ]
variety|多樣性 |[vəˈraɪ.ə.ti]
various|各種各樣的 |[ˈveə.ri.əs]
vase|花瓶 |[vɑːz]
vast|廣大的 |[vɑːst]
vegetable|蔬菜 |[ˈvedʒ.tə.bəl]
vehicle|車輛 |[ˈvɪə.kəl]
vein|靜脈/葉脈 |[veɪn]
velvet|天鵝絨 |[ˈvel.vɪt]
venture|冒險 |[ˈven.tʃər]
verb|動詞 |[vɜːb]
verdict|判決 |[ˈvɜː.dɪkt]
verse|詩節 |[vɜːs]
version|版本 |[ˈvɜː.ʒən]
vertical|垂直的 |[ˈvɜː.tɪ.kəl]
very|非常 |[ˈver.i]
vessel|船隻/容器/血管 |[ˈves.əl]
vest|背心 |[vest]
veteran|退伍軍人/老手 |[ˈvet.ər.ən]
vet|獸醫 |[vet]
via|經由 |[ˈvaɪ.ə]
vibrate|震動 |[vaɪˈbreɪt]
vibration|震動 |[vaɪˈbreɪ.ʃən]
vice|惡行/副的 |[vaɪs]
vicious|惡意的 |[ˈvɪʃ.əs]
victim|受害者 |[ˈvɪk.tɪm]
victory|勝利 |[ˈvɪk.tər.i]
video|影片 |[ˈvɪd.i.əʊ]
view|觀點/風景 |[vjuː]
viewer|觀眾 |[ˈvjuː.ər]
vigor|活力 |[ˈvɪɡ.ər]
vigorous|精力充沛的 |[ˈvɪɡ.ər.əs]
viking|維京人 |[ˈvaɪ.kɪŋ]
villa|別墅 |[ˈvɪl.ə]
village|村莊 |[ˈvɪl.ɪdʒ]
villager|村民 |[ˈvɪl.ɪ.dʒər]
villain|反派角色 |[ˈvɪl.ən]
vine|藤蔓 |[vaɪn]
vinegar|醋 |[ˈvɪn.ɪ.ɡər]
vineyard|葡萄園 |[ˈvɪn.jɑːd]
vintage|古典的/珍藏的 |[ˈvɪn.tɪdʒ]
violate|違反 |[ˈvaɪ.ə.leɪt]
violence|暴力 |[ˈvaɪ.ə.ləns]
violent|暴力的 |[ˈvaɪ.ə.lənt]
violet|紫羅蘭 |[ˈvaɪ.ə.lət]
violin|小提琴 |[ˌvaɪəˈlɪn]
violinist|小提琴家 |[ˌvaɪəˈlɪn.ɪst]
virgin|處女/純潔的 |[ˈvɜː.dʒɪn]
virtual|虛擬的 |[ˈvɜː.tʃu.əl]
virtue|美德 |[ˈvɜː.tʃuː]
virus|病毒 |[ˈvaɪə.rəs]
visa|簽證 |[ˈviː.zə]
visible|可見的 |[ˈvɪz.ə.bəl]
vision|視力/願景 |[ˈvɪʒ.ən]
visit|拜訪 |[ˈvɪz.ɪt]
visitor|訪客 |[ˈvɪz.ɪ.tər]
visual|視覺的 |[ˈvɪʒ.u.əl]
vital|至關重要的 |[ˈvaɪ.təl]
vitamin|維他命 |[ˈvaɪ.tə.mɪn]
vivid|生動的 |[ˈvɪv.ɪd]
vocabulary|字彙 |[vəˈkæb.jʊ.lər.i]
vocal|聲音的/直言不諱的 |[ˈvəʊ.kəl]
vocation|職業 |[vəʊˈkeɪ.ʃən]
vocational|職業的 |[vəʊˈkeɪ.ʃən.əl]
vogue|時尚 |[vəʊɡ]
voice|聲音 |[vɔɪs]
void|空虛/無效的 |[vɔɪd]
volcano|火山 |[vɒlˈkeɪ.nəʊ]
volleyball|排球 |[ˈvɒl.i.bɔːl]
volt|伏特 |[vəʊlt]
voltage|電壓 |[ˈvəʊl.tɪdʒ]
volume|音量/體積/卷 |[ˈvɒl.juːm]
voluntary|自願的 |[ˈvɒl.ən.tər.i]
volunteer|志工 |[ˌvɒl.ənˈtɪər]
vomit|嘔吐 |[ˈvɒm.ɪt]
vote|投票 |[vəʊt]
voter|投票者 |[ˈvəʊ.tər]
vow|誓言 |[vaʊ]
vowel|元音 |[ˈvaʊ.əl]
voyage|航海 |[ˈvɔɪ.ɪdʒ]
vulgar|粗俗的 |[ˈvʌl.ɡər]
vulnerable|易受傷的 |[ˈvʌl.nər.ə.bəl]
wade|涉水 |[weɪd]
wag|搖擺 |[wæɡ]
wage|薪水 |[weɪdʒ]
wagon|貨車 |[ˈwæɡ.ən]
wail|痛哭 |[weɪl]
waist|腰部 |[weɪst]
wait|等待 |[weɪt]
waiter|男服務生 |[ˈweɪ.tər]
waitress|女服務生 |[ˈweɪ.trəs]
wake|醒來 |[weɪk]
waken|醒來/喚醒 |[ˈweɪ.kən]
walk|走路 |[wɔːk]
walker|散步者/助行器 |[ˈwɔː.kər]
wall|牆壁 |[wɔːl]
wallet|皮夾 |[ˈwɒl.ɪt]
walnut|核桃 |[ˈwɔːl.nʌt]
wander|漫遊/流浪 |[ˈwɒn.dər]
want|想要 |[wɒnt]
war|戰爭 |[wɔːr]
ward|病房 |[wɔːd]
wardrobe|衣櫃 |[ˈwɔː.drəʊb]
warehouse|倉庫 |[ˈweə.haʊs]
warfare|戰爭狀態 |[ˈwɔː.feər]
warm|溫暖的 |[wɔːm]
warmth|溫暖 |[wɔːmθ]
warn|警告 |[wɔːn]
warning|警告 |[ˈwɔː.nɪŋ]
warrant|授權令 |[ˈwɒr.ənt]
warrior|戰士 |[ˈwɒr.i.ər]
wary|謹慎的 |[ˈweə.ri]
wash|洗滌 |[wɒʃ]
washroom|洗手間 |[ˈwɒʃ.ruːm]
waste|浪費/廢棄物 |[weɪst]
watch|手錶/觀看 |[wɒtʃ]
watchman|看門人 |[ˈwɒtʃ.mən]
water|水/澆水 |[ˈwɔː.tər]
waterfall|瀑布 |[ˈwɔː.tə.fɔːl]
watermelon|西瓜 |[ˈwɔː.təˌmel.ən]
waterproof|防水的 |[ˈwɔː.tə.pruːf]
watertight|防水的/嚴密的 |[ˈwɔː.tə.taɪt]
wave|海浪/揮手 |[weɪv]
wax|蠟 |[wæks]
way|方法/道路 |[weɪ]
we|我們 |[wiː]
weak|虛弱的 |[wiːk]
weaken|削弱 |[ˈwiː.kən]
weakness|弱點 |[ˈwiːk.nəs]
wealth|財富 |[welθ]
wealthy|富有的 |[ˈwel.θi]
weapon|武器 |[ˈwep.ən]
wear|穿戴 |[weər]
weary|疲憊的 |[ˈwɪə.ri]
weather|天氣 |[ˈweð.ər]
weave|編織 |[wiːv]
weaver|織工 |[ˈwiː.vər]
web|網 |[web]
website|網站 |[ˈweb.saɪt]
wed|結婚 |[wed]
wedding|婚禮 |[ˈwed.ɪŋ]
Wednesday|星期三 |[ˈwenz.deɪ]
weed|雜草 |[wiːd]
week|星期 |[wiːk]
weekday|工作日 |[ˈwiːk.deɪ]
weekend|週末 |[ˈwiːk.end]
weekly|每週的 |[ˈwiːk.li]
weep|哭泣 |[wiːp]
